Table with row headers in column A and column headers in row 10,,,,,,,
"Census 2000 PHC-T-41.  A Half-Century of Learning:  Historical Statistics on Educational Attainment in the United States, 1940 to 2000",,,,,,,
,,,,,,,
,,,,,,,
"Table 2.  Percent of the Population 25 Years and Over with a Bachelor's Degree or Higher by Sex and Age, for the United States:  1940 to 2000",,,,,,,
,,,,,,,
(leading dots indicate subparts),,,,,,,
"[1950 to 2000 data based on a sample.  For information on confidentiality protection, sampling error, and definitions, see http://www.census.gov/prod/cen2000/doc/sf3.pdf]",,,,,,,
,,,,,,,
Sex and age,1940,1950,1960,1970,1980,1990,2000
Both Sexes,,,,,,,
.25 years and over,4.6,6.2,7.7,10.7,16.2,20.3,24.4
..25 to 29 years,5.9,7.7,11.1,16.3,22.1,22.1,27.2
..30 to 34 years,6.3,7.4,10.9,14.4,24.6,23.4,27.9
..35 to 39 years,5.5,7.2,9.5,13.8,21.2,26.4,25.9
..40 to 44 years,4.7,7.4,8.1,12.4,17.5,27.7,25.9
..45 to 49 years,4.2,6.5,7.4,10.5,16.0,23.5,28.5
..50 to 54 years,3.8,5.6,7.3,8.8,13.9,19.4,29.1
..55 to 59 years,3.4,4.9,6.2,8.1,11.8,17.2,24.6
..60 to 64 years,3.3,4.3,5.0,7.9,10.0,14.9,20.3
..65 to 69 years,2.9,3.7,4.1,6.6,9.0,12.5,18.3
..70 to 74 years,2.6,3.6,3.6,5.5,9.0,10.6,16.2
..75 years and over,2.3,3.3,3.2,4.6,7.2,9.5,13.3
,,,,,,,
Male,,,,,,,
.25 years and over,5.5,7.3,9.7,13.5,20.1,23.3,26.1
..25 to 29 years,6.9,9.6,14.4,19.5,23.6,21.7,24.7
..30 to 34 years,7.4,9.0,14.7,18.5,29.2,24.0,26.8
..35 to 39 years,6.5,8.4,13.0,18.6,26.1,28.0,25.6
..40 to 44 years,5.5,8.4,10.0,16.4,22.2,31.7,25.9
..45 to 49 years,4.9,7.4,8.6,14.1,21.1,27.8,29.4
..50 to 54 years,4.5,6.4,8.2,10.8,18.4,23.7,32.5
..55 to 59 years,4.1,5.6,7.0,9.3,15.8,22.2,28.6
..60 to 64 years,4.1,5.1,5.7,8.7,12.4,19.4,24.6
..65 to 69 years,3.6,4.4,4.8,7.4,10.7,16.9,23.5
..70 to 74 years,3.3,4.3,4.3,6.2,10.3,13.5,21.3
..75 years and over,2.9,4.0,3.9,5.3,8.6,11.7,17.7
,,,,,,,
Female,,,,,,,
.25 years and over,3.8,5.2,5.8,8.1,12.8,17.6,22.9
..25 to 29 years,4.9,5.9,7.8,13.3,20.5,22.4,29.7
..30 to 34 years,5.3,6.0,7.3,10.6,20.2,22.8,29.1
..35 to 39 years,4.5,6.0,6.2,9.3,16.4,24.8,26.2
..40 to 44 years,3.9,6.5,6.2,8.5,13.1,23.8,25.8
..45 to 49 years,3.4,5.6,6.2,7.2,11.2,19.5,27.5
..50 to 54 years,3.0,4.9,6.5,7.0,9.9,15.4,25.9
..55 to 59 years,2.6,4.2,5.4,7.0,8.2,12.6,21.0
..60 to 64 years,2.5,3.6,4.3,7.3,7.8,10.9,16.5
..65 to 69 years,2.1,3.1,3.6,5.9,7.6,8.9,13.9
..70 to 74 years,1.9,3.0,3.1,5.0,8.1,8.4,12.2
..75 years and over,1.7,2.7,2.7,4.1,6.4,8.4,10.7
Footnotes:,,,,,,,
"Source:  U.S. Census Bureau, Decennial Census of Population, 1940 to 2000.",,,,,,,
"Internet Release Date: April 6, 2006",,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
