Additive_Name,Chemical_Abstracts_Service_Number,European_Number,Allowed in America,Allowed in Europe
"(-)-Homoeriodictyol, Sodium Salt", 462631-45-4,,Y,
(-)-Sclareol, 515-03-7,,Y,
(+)-Cedrol, 77-53-2,,Y,
"(+/-)-[R-(E)]-5-Isopropyl-8-Methylnona-6,8-Dien-2-One", 2278-53-7,,Y,
(+/-)-1-Acetoxy-1-Ethoxyethane, 1608-72-6,,Y,
(+/-)-1-Hepten-3-Ol, 4938-52-7,,Y,
(+/-)-1-Phenylethylmercaptan, 6263-65-6,,Y,
(+/-)-2-(5-Methyl-5-Vinyltetrahydrofuran-2-Yl)Propionaldehyde, 67920-63-2,,Y,
"(+/-)-2,4,8-Trimethyl-7-Nonen-2-Ol", 437770-28-0,,Y,
"(+/-)-2,6,10,10-Tetramethyl-1-Oxaspiro[4,5]Deca-2,6-Dien-8-One", 80722-28-7,,Y,
"(+/-)-2,8-Epithio-Cis-P-Menthane", 68398-18-5,,Y,
(+/-)-2-Hydroxypiperitone, 490-03-9,,Y,
(+/-)-2-Methyltetrahydrofuran-3-Thiol Acetate, 252736-41-7,,Y,
(+/-)-2-Phenyl-4-Methyl-2-Hexenal, 26643-92-5,,Y,
(+/-)-3-(Ethylthio)Butanol, 117013-33-9,,Y,
(+/-)-3-(Methylthio)Heptanal, 51755-70-5,,Y,
(+/-)-3-[(2-Methyl-3-Furyl)Thio]-2-Butanone, 61295-44-1,,Y,
"(+/-)-3-Hydroxy-3-Methyl-2,4-Nonanedione", 544409-58-7,,Y,
(+/-)-3-Mercapto-1-Butyl Acetate, 89534-38-3,,Y,
(+/-)-4-Ethyloctanal, 58475-04-0,,Y,
(+/-)-4-Mercapto-4-Methyl-2-Pentanol, 31539-84-1,,Y,
"(+/-)-4-Methyl-2-Propyl-1,3-Oxathiane", 1064678-08-5,,Y,
(+/-)-6-Methyloctanal, 30689-75-9,,Y,
(+/-)-6-Octyltetrahydro-2h-Pyran-2-One, 7370-92-5,,Y,
(+/-)-Acetaldehyde Ethyl Isopropyl Acetal, 25334-93-4,,Y,
"(+/-)-Cis- And Trans-1,2-Dihydroperillaldehyde", 137886-38-5,,Y,
(+/-)-Cis- And Trans-2-Methyl-2-(4-Methyl-3-Pentenyl)Cyclopropanecarbaldehyde, 904929-41-5,,Y,
"(+/-)Cis- And Trans-2-Pentyl-4-Propyl-1,3-Oxathiane", 59323-81-8,,Y,
"(+/-)-Cis- And Trans-3,5-Diethyl-1,2,4-Trithiolane", 54644-28-9,,Y,
(+/-)-Dihydrofarnesol, 51411-24-6,,Y,
(+/-)-Dihydromintlactone, 92015-65-1,,Y,
(+/-)-Eriodictyol, 4049-38-1,,Y,
(+/-)-Ethyl 2-Hydroxy-2-Methylbutyrate, 77-70-3,,Y,
(+/-)-Ethyl 2-Hydroxy-3-Methylvalerate, 24323-38-4,,Y,
(+/-)-Ethyl 3-Acetoxy-2-Methylbutyrate, 139564-43-5,,Y,
(+/-)-Ethyl 3-Hydroxy-2-Methylbutyrate, 27372-03-8,,Y,
(+/-)-Ethyl 3-Mercapto-2-Methylbutanoate, 888021-82-7,,Y,
